seed,n,d,p,loss,solver,gamma,standardize,varsort_raw,varsort_fit,auroc_change_w,auroc_change_a,max_h,seconds
4,100,12,1,gaussian,admm,0.0,True,0.7777777777777778,0.5,0.5,0.5563380281690141,0.004267051739292427,0.3170101670039003
4,100,12,1,gaussian,admm,0.05,True,0.7777777777777778,0.5,0.6321428571428571,0.6126760563380281,0.003872609100493918,0.3098423329938669
4,100,12,1,student_t,admm,0.0,True,0.7777777777777778,0.5,0.5607142857142857,0.6232394366197183,0.004316501045639853,0.3602927079991787
4,100,12,1,student_t,admm,0.05,True,0.7777777777777778,0.5,0.6910714285714286,0.43309859154929575,0.003927205647991983,0.3085019169957377
5,100,12,1,gaussian,lbfgs_smooth,0.0,True,0.9583333333333334,0.5,0.6660714285714285,0.545774647887324,0.006670765483454133,0.25767891699797474
5,100,12,1,gaussian,lbfgs_smooth,0.05,True,0.9583333333333334,0.5,0.6642857142857143,0.5352112676056338,0.006680972437523636,0.2940984169981675
5,100,12,1,student_t,lbfgs_smooth,0.0,True,0.9583333333333334,0.5,0.5535714285714286,0.5845070422535211,0.0059334390793086556,0.3185155000028317
5,100,12,1,student_t,lbfgs_smooth,0.05,True,0.9583333333333334,0.5,0.5571428571428572,0.5880281690140845,0.005935696666588441,0.2916100419970462
5,100,12,1,gaussian,admm,0.0,True,0.9583333333333334,0.5,0.7098214285714286,0.20774647887323944,0.004209218317823726,0.34580545800417894
5,100,12,1,gaussian,admm,0.05,True,0.9583333333333334,0.5,0.8330357142857143,0.3873239436619718,0.0037027671502425363,0.4825392919956357
5,100,12,1,student_t,admm,0.0,True,0.9583333333333334,0.5,0.8357142857142857,0.2764084507042254,0.0038197035620299857,0.41271587499795714
5,100,12,1,student_t,admm,0.05,True,0.9583333333333334,0.5,0.83125,0.45422535211267606,0.0038603724596786293,0.3218861250061309
6,100,12,1,gaussian,lbfgs_smooth,0.0,True,1.0,0.5,0.7464285714285714,0.7922535211267606,0.006989607591478375,0.3374225000006845
6,100,12,1,gaussian,lbfgs_smooth,0.05,True,1.0,0.5,0.75,0.7922535211267606,0.006984610352706255,0.432922874999349
6,100,12,1,student_t,lbfgs_smooth,0.0,True,1.0,0.5,0.5267857142857143,0.6971830985915493,0.006323023092157598,0.4281577500005369
6,100,12,1,student_t,lbfgs_smooth,0.05,True,1.0,0.5,0.5517857142857143,0.6971830985915493,0.0063972497239959125,0.3920324589998927
6,100,12,1,gaussian,admm,0.0,True,1.0,0.5,0.5571428571428572,0.9084507042253521,0.00465439992119876,0.45909150000079535
6,100,12,1,gaussian,admm,0.05,True,1.0,0.5,0.6982142857142857,0.698943661971831,0.00438705901718528,0.3664994169957936
6,100,12,1,student_t,admm,0.0,True,1.0,0.5,0.8,0.9507042253521126,0.00399078464489655,0.4300580409981194
6,100,12,1,student_t,admm,0.05,True,1.0,0.5,0.8580357142857142,0.9683098591549296,0.0036943374482536484,0.43424162500014063
7,100,12,1,gaussian,lbfgs_smooth,0.0,True,0.7142857142857143,0.5,0.4232142857142857,0.8133802816901409,0.006965010218221934,0.3139048750017537
7,100,12,1,gaussian,lbfgs_smooth,0.05,True,0.7142857142857143,0.5,0.43392857142857144,0.8063380281690141,0.006956002419350682,0.31431808300112607
7,100,12,1,student_t,lbfgs_smooth,0.0,True,0.7142857142857143,0.5,0.6071428571428571,0.573943661971831,0.006203102544292349,0.3883326249997481
7,100,12,1,student_t,lbfgs_smooth,0.05,True,0.7142857142857143,0.5,0.6125,0.573943661971831,0.006204770639248736,0.3013491659949068
7,100,12,1,gaussian,admm,0.0,True,0.7142857142857143,0.5,0.7357142857142858,0.551056338028169,0.004407804475686561,0.3373161249983241
7,100,12,1,gaussian,admm,0.05,True,0.7142857142857143,0.5,0.7633928571428571,0.7183098591549296,0.004100985876275942,0.32088091599871404
7,100,12,1,student_t,admm,0.0,True,0.7142857142857143,0.5,0.8660714285714286,0.5651408450704225,0.00368787377701274,0.32260750000568805
7,100,12,1,student_t,admm,0.05,True,0.7142857142857143,0.5,0.7035714285714286,0.721830985915493,0.0036622260053604805,0.3031599170062691
8,100,12,1,gaussian,lbfgs_smooth,0.0,True,0.782608695652174,0.5,0.8517857142857143,0.7676056338028169,0.0074656312427627824,0.26585937500203727
